2018/10/15-17:09 [main] ERROR org.springframework.boot.context.logging.LoggingApplicationListener- Cannot set level: WARN   for 'com.mycompany.mavenspringboot.controller'
 2018/10/15-17:09 [main] ERROR org.springframework.boot.context.logging.LoggingApplicationListener- Cannot set level: DEBUG   for 'com.mycompany.mavenspringboot.mapper'
 2018/10/15-17:09 [main] INFO  com.example.PenglangApplication- Starting PenglangApplication on LAPTOP-5L36Q17F with PID 14956 (E:\IdeaProjects\penglang\target\classes started by PengLang in E:\IdeaProjects\penglang)
 2018/10/15-17:09 [main] INFO  com.example.PenglangApplication- The following profiles are active: dev
 2018/10/15-17:09 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@68ad99fe: startup date [Mon Oct 15 17:09:53 CST 2018]; root of context hierarchy
 2018/10/15-17:09 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate- Multiple Spring Data modules found, entering strict repository configuration mode!
 2018/10/15-17:09 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate- Multiple Spring Data modules found, entering strict repository configuration mode!
 2018/10/15-17:09 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker- Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b802c57c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 2018/10/15-17:09 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8080 (http)
 2018/10/15-17:09 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
 2018/10/15-17:09 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet Engine: Apache Tomcat/8.5.34
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- Loaded APR based Apache Tomcat Native library [1.2.16] using APR version [1.6.3].
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 2625 ms
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet dispatcherServlet mapped to [/]
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'characterEncodingFilter' to: [/*]
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'httpPutFormContentFilter' to: [/*]
 2018/10/15-17:09 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'requestContextFilter' to: [/*]
 2018/10/15-17:09 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean- Building JPA container EntityManagerFactory for persistence unit 'default'
 2018/10/15-17:09 [main] INFO  org.hibernate.jpa.internal.util.LogHelper- HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
 2018/10/15-17:09 [main] INFO  org.hibernate.Version- HHH000412: Hibernate Core {5.2.17.Final}
 2018/10/15-17:09 [main] INFO  org.hibernate.cfg.Environment- HHH000206: hibernate.properties not found
 2018/10/15-17:09 [main] INFO  org.hibernate.annotations.common.Version- HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
 2018/10/15-17:09 [main] INFO  org.hibernate.dialect.Dialect- HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
 2018/10/15-17:09 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean- Initialized JPA EntityManagerFactory for persistence unit 'default'
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
 2018/10/15-17:09 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter- Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@68ad99fe: startup date [Mon Oct 15 17:09:53 CST 2018]; root of context hierarchy
